Team,Rat,Pwr,Off,Def,HFA,SoS,SSF,EW,EL
Bethune-Cookman,5.41,29.67,77.84,16.9,2.7,33.44,33.23,0.57,0.43
Hampton,5.41,28.36,77.89,15.55,2.74,36.83,37.04,0.44,1.56
Morgan St,5.41,27.35,75.88,16.55,2.8,30.9,31.19,0.18,0.82
East Texas A&M,5.39,30.59,82.72,12.95,2.85,35.1,35.18,0.31,0.69
Canisius,5.38,27.61,75.91,16.78,2.8,35.55,34.72,1.21,0.79
Sacred Heart,5.38,30.25,78.22,17.11,2.71,34.61,34.27,1.03,0.97
Utah Tech,5.37,31.04,84.47,11.65,2.8,37.17,37.3,0.6,1.4
SE Missouri St,5.31,28.66,79.62,14.12,2.88,36.27,36.27,0.0,0.0
New Orleans,5.29,30.02,81.66,13.44,2.7,38.69,38.24,0.59,0.41
SIUE,5.26,28.15,82.44,10.78,2.8,35.76,35.76,0.0,0.0
Rider,5.25,27.15,75.83,16.39,2.73,33.65,33.41,0.82,1.18
Queens NC,5.25,24.47,78.84,10.7,2.61,32.25,32.25,0.0,0.0
NC Central,5.25,25.16,81.7,8.53,2.85,35.1,34.42,0.7,0.3
McNeese St,5.22,24.28,78.62,10.74,2.76,33.18,32.98,0.41,0.59
E Michigan,5.22,30.13,81.49,13.71,2.85,41.24,41.13,0.51,1.49
Stonehill,5.22,22.86,77.44,10.5,2.74,27.33,27.16,0.51,0.49
Prairie View,5.19,24.68,77.58,12.18,2.86,30.61,30.51,0.41,0.59
Houston Chr,5.19,24.95,71.66,18.36,2.8,36.45,36.45,0.0,0.0
Seattle,5.18,27.98,80.36,12.69,2.91,39.22,38.53,0.87,1.13
North Florida,5.15,27.66,79.06,13.68,2.89,35.58,35.58,0.0,0.0
CS Northridge,5.14,24.88,78.07,11.88,2.79,38.32,38.91,0.25,2.75
CS Bakersfield,5.09,27.24,74.36,17.95,2.79,40.69,41.31,0.05,1.95
SC Upstate,5.07,23.44,72.68,15.84,2.7,29.96,29.96,0.0,0.0
Central Conn,5.06,23.62,76.46,12.23,2.7,28.23,27.96,0.59,0.41
MA Lowell,4.98,24.42,71.1,18.4,2.8,37.25,37.25,0.0,0.0
MS Valley St,4.96,21.2,77.3,8.98,2.83,35.32,34.98,0.51,1.49
St Francis PA,4.95,19.26,70.88,13.46,2.85,28.61,28.46,0.35,0.65
Presbyterian,4.95,24.63,74.5,15.2,2.75,30.43,30.43,0.0,0.0
Northeastern,4.94,26.15,75.29,15.93,2.89,36.91,36.77,0.51,1.49
Alabama St,4.94,21.61,71.8,14.89,2.98,33.49,34.0,0.13,1.87
Niagara,4.91,26.36,81.0,10.43,2.81,36.11,35.2,1.1,0.9
Ark Pine Bluff,4.88,26.29,76.37,14.99,2.75,32.17,32.07,0.75,1.25
Mercyhurst,4.86,21.26,76.37,9.96,2.68,26.38,25.97,0.65,0.35
Le Moyne,4.81,21.88,73.48,13.48,2.89,30.12,30.27,0.17,0.83
American Univ,4.8,25.51,77.34,13.25,2.92,36.87,36.86,0.21,0.79
Chicago St,4.77,20.35,78.23,7.19,2.85,31.44,31.44,0.0,0.0
Wagner,4.76,19.65,73.33,11.39,2.78,25.72,25.51,0.49,0.51
UNC Asheville,4.67,22.59,74.27,13.4,2.77,30.21,30.21,0.0,0.0
LIU Brooklyn,4.65,18.17,71.51,11.72,2.79,27.99,27.74,0.41,0.59
Delaware St,4.48,17.17,72.25,9.99,2.9,26.75,26.93,0.14,0.86
S Carolina St,4.39,15.32,68.36,12.03,2.94,33.89,33.42,0.3,0.7
