Year,School ,Conference  ,Host Region,"Place (1st, 2nt, 3rd)"
1998,Stanford,Pacific-10,MidWest,3
1998,Utah,Western Athletic,West,2
1999,Connecticut,Big East,West,1
1999,Duke,Atlantic Coast,East,2
1999,Michigan State,Big Ten,MidWest,3
1999,Ohio State*,Big Ten,South,3
2000,Florida,Southeastern,East,2
2000,Michigan State,Big Ten,MidWest,1
2000,North Carolina,Atlantic Coast,South,3
2000,Wisconsin,Big Ten,West,3
2001,Arizona,Pacific-10,MidWest,2
2001,Duke,Atlantic Coast,East,1
2001,Maryland,Atlantic Coast,West,3
2001,Michigan State,Big Ten,South,3
2002,Indiana,Big Ten,South ,2
2002,Kansas,Big 12,MidWest,3
2002,Maryland,Atlantic Coast,East,1
2002,Oklahoma,Big 12,West,3
2003,Kansas,Big 12,West,2
2003,Marquette,Conference USA,MidWest,3
2003,Syracuse,Big East,East,1
2003,Texas,Big 12,South,3
2004,Connecticut,Big East,West,1
2004,Duke,Atlantic Coast,South,3
2004,Georgia Tech,Atlantic Coast,Midwest,2
2004,Oklahoma State,Big 12,East,3
2005,Illinois,Big Ten,Midwest,2
2005,Louisville,Conference USA,West,3
2005,Michigan State,Big Ten,South,3
2005,North Carolina,Atlantic Coast,East,1
2006,Florida,Southeastern,MidWest,1
2006,George Mason,Colonial,East,3
2006,LSU,Southeastern,South,3
2006,UCLA,Pacific-10,West,2
2007,Florida,Southeastern,MidWest,1
2007,Georgetown,Big East,East,3
2007,Ohio State,Big Ten,South,2
2007,UCLA,Pacific-10,West,3
2008,Kansas,Big 12,MidWest,1
2008,Memphis*,Conference USA,South,2
2008,North Carolina,Atlantic Coast,East,3
2008,UCLA,Pacific-10,West,3
2009,Connecticut,Big East,West,3
2009,Michigan State,Big Ten,MidWest,2
2009,North Carolina,Atlantic Coast,South,1
2009,Villanova,Big East,East,3
2010,Butler,Horizon,West,2
2010,Duke,Atlantic Coast,South,1
2010,Michigan State,Big Ten,MidWest,3
2010,West Virginia,Big East,East,3
2011,Butler,Horizon,SouthEast,2
2011,Connecticut,Big East,West,1
2011,Kentucky,Southeastern,East,3
2011,VCU,Colonial,SouthWest,3
2012,Kansas,Big 12,MidWest,2
2012,Kentucky,Southeastern,South,1
2012,Louisville*,Big East,West,3
2012,Ohio State,Big Ten,East,3
2013,Louisville*,Big East,MidWest,1
2013,Michigan,Big Ten,South,2
2013,Syracuse,Big East,East,3
2013,Wichita State,Missouri Valley,West,3
2014,Connecticut,American,East,1
2014,Florida,Southeastern,South,3
2014,Kentucky,Southeastern,MidWest,2
2014,Wisconsin,Big Ten,West,3
2015,Duke,Atlantic Coast,South,1
2015,Kentucky,Southeastern,MidWest,3
2015,Michigan State,Big Ten,East,3
2015,Wisconsin,Big Ten,West,2
2016,North Carolina,Atlantic Coast,East,2
2016,Oklahoma,Big 12,West,3
2016,Syracuse,Atlantic Coast,MidWest,3
2016,Villanova,Big East,South,1
2017,Gonzaga,West Coast,West,2
2017,North Carolina,Atlantic Coast,South,1
2017,Oregon,Pacific- 12,MidWest,3
2017,South Carolina,Southeastern,East,3
2018,Kansas,Big 12,MidWest,3
2018,Loyola-Chicago,Missouri Valley,South,3
2018,Michigan,Big Ten,West,2
2018,Villanova,Big East,East,1
2019,Auburn,Southeastern,MidWest,3
2019,Michigan State,Big Ten,East,3
2019,Texas Tech,Big 12,West,2
2019,Virginia,Atlantic Coast,South,1
