rank,team,conf,record,adjoe,oe Rank,adjde,de Rank,barthag,rank,proj. W,Proj. L,Pro Con W,Pro Con L,Con Rec.,sos,ncsos,consos,Proj. SOS,Proj. Noncon SOS,Proj. Con SOS,elite SOS,elite noncon SOS,Opp OE,Opp DE,Opp Proj. OE,Opp Proj DE,Con Adj OE,Con Adj DE,Qual O,Qual D,Qual Barthag,Qual Games,FUN,ConPF,ConPA,ConPoss,ConOE,ConDE,ConSOSRemain,Conf Win%,WAB,WAB Rk,"Fun Rk, adjt"
182,UNC Greensboro,SC,17-15,100.03115390698076,222,101.17800293510768,149,0.4672727369026673,182,17,15,9,9,9-9,0.47435057675465325,0.40919986007025616,0.5222391489879536,0.47435057675465325,0.40919986007025616,0.5222391489879536,0.8592128748319385,0.850503456754355,104.24951514631246,104.42737268292576,104.24951514631246,104.42737268292576,101.12855891353323,99.64368442223615,90.82306365639143,90.4513766948407,0.5117876905848397,2,0.03005590673180525,1178.0,1173.0,1138.375,1.0348083891512023,1.0304161633907982,0,0.5,-7.348655511004944,178,100,62.32117791077732
183,Cornell,Ivy,15-11,103.05863506740914,161,104.30072216469597,229,0.4656113394926356,183,15,11,7,7,7-7,0.3988730221948462,0.37607442640278355,0.3992019489198157,0.3988730221948462,0.37607442640278355,0.3992019489198157,0.8792154364763838,0.8424139888404043,101.2224678222135,104.06371288407009,101.2224678222135,104.06371288407009,100.6672666875405,103.29890329302798,96.95538592581195,104.09903339513188,0.30628286957563483,2,0.0069239816429971235,1037.0,1040.0,1021.1625,1.0155092847612401,1.0184471129717356,0,0.5,-6.314041680674869,158,163,71.97074559950674
184,Bryant,NEC,22-10,102.86516984450583,165,104.1288562194224,223,0.4649537150549488,184,22,10,16,2,16-2,0.31582386820711206,0.44174570375311273,0.23708509189187238,0.31582386820711206,0.44174570375311273,0.23708509189187238,0.9069347134621577,0.8116481867489482,97.97675722113715,105.65112324472067,97.97675722113715,105.65112324472067,105.59980797634744,105.11829882722824,97.67963746931743,120.64013724879331,0.08107218652639646,2,0.030996856649052495,1411.0,1260.0,1274.2375,1.107328892769205,0.9888266512325999,0,0.8888888888888888,-4.791372747726541,131,98,72.27835812330744
185,Bellarmine,ASun,20-13,107.96910300016472,70,109.31105786960973,303,0.46454628455577984,185,20,13,11,5,11-5,0.4267343297962212,0.4886918598915902,0.3565142636353651,0.4267343297962212,0.4886918598915902,0.3565142636353651,0.833707558444127,0.7124873200567156,103.86990074701856,103.12906788348162,103.86990074701856,103.12906788348162,107.84461688204046,108.77876518890692,100.85874441020614,103.74738861889642,0.4195216812840668,6,0.060934345281109414,1129.0,1079.0,1014.1375000000002,1.1132612688121677,1.0639582896796538,0,0.6875,-5.584615824764764,145,55,62.28939195483405
186,Wright St.,Horz,22-14,104.80519879984595,124,106.22972871223415,258,0.4612634875231241,186,22,14,15,7,15-7,0.3761830004898742,0.4526421707998682,0.30425356978179213,0.3761830004898742,0.4526421707998682,0.30425356978179213,0.8987789029898665,0.8447762590328336,100.70429821552752,105.50233453447846,100.70429821552752,105.50233453447846,107.00724544249601,108.48783949665881,88.76810746101654,102.24550518349076,0.16444526265378479,2,0.01873403871615209,1692.0,1534.0,1493.775,1.1327007079379423,1.02692841960804,0,0.6818181818181818,-8.396395282409603,197,130,68.7714009329626
187,Long Beach St.,BW,20-13,101.46991787736386,191,102.95890594490459,197,0.45821594774188695,187,20,13,14,3,14-3,0.4699973075609228,0.5634438359591631,0.39219527089674383,0.4699973075609228,0.5634438359591631,0.39219527089674383,0.8368113390859122,0.7217577683646909,102.28638039154905,101.77200345145326,102.28638039154905,101.77200345145326,101.48564063201472,100.52915762962408,95.7138293634349,103.35661477593621,0.2924615724496498,5,0.1024548485709228,1256.0,1147.0,1204.2624999999998,1.042961978804455,0.952450151026043,0,0.8235294117647058,-4.9257886287243835,135,15,71.061205826543
188,Oral Roberts,Sum,19-12,108.06975509141603,69,109.6807261927873,312,0.4575616752164097,188,19,12,13,6,13-6,0.3731068351003716,0.41411271994751586,0.3419674970525022,0.3731068351003716,0.41411271994751586,0.3419674970525022,0.8883913527436884,0.8291864271836928,102.36349061280325,106.20622398821594,102.36349061280325,106.20622398821594,108.8830373380867,108.8999601758158,112.08543993164241,113.42750598133685,0.46583369174098166,2,0.01790944025979946,1619.0,1481.0,1384.1499999999999,1.169670917169382,1.0699707401654446,0,0.6842105263157895,-6.8162223252258425,169,135,70.2428158267542
189,Navy,Pat,21-11,94.19719214602094,321,95.60473857921363,50,0.4574610500129897,189,21,11,12,6,12-6,0.35420001822094005,0.5281277095520593,0.2475701813489938,0.35420001822094005,0.5281277095520593,0.2475701813489938,0.8989005905568548,0.8077140766472279,100.08631792763332,106.12949737962252,100.08631792763332,106.12949737962252,92.54776406438867,95.1425709691993,122.17172794897522,108.01636688233914,0.8047367179419581,3,0.0491363311517522,1143.0,1058.0,1156.5624999999998,0.9882734396109162,0.9147797892461499,0,0.6666666666666666,-6.005249557578861,151,74,64.77972664617707
190,Florida Gulf Coast,ASun,22-12,104.74098402455213,125,106.35050422848562,263,0.45626885152610813,190,22,12,10,6,10-6,0.36585080909455947,0.3364878644285941,0.3832151150078076,0.36585080909455947,0.3364878644285941,0.3832151150078076,0.9145122025078943,0.9147135893571496,100.39878692187794,104.83041956901737,100.39878692187794,104.83041956901737,103.33645639815124,105.65807303738384,118.40638247492564,119.10730059628118,0.4830378432447578,1,0.046035488104800515,1229.0,1198.0,1157.2250000000001,1.0620233748838817,1.0352351530601223,0,0.625,-6.6806858248634695,165,79,70.08659889755127
191,Charlotte,CUSA,17-14,104.70284044808494,127,106.40746103277596,265,0.45370332459465196,191,17,14,10,8,10-8,0.48540571188824705,0.5137060302931887,0.474783923779514,0.48540571188824705,0.5137060302931887,0.474783923779514,0.8603621169677851,0.8315652320234951,102.15574864905395,102.64011159244806,102.15574864905395,102.64011159244806,103.25212230253246,106.03294589693347,111.51649555588892,113.88185562344586,0.4399478028371453,3,0.06447735398076448,1233.0,1249.0,1187.625,1.0382065045784654,1.0516787706557205,0,0.5555555555555556,-7.422684116412885,179,50,65.423922060832
192,Massachusetts,A10,15-17,110.91433292475224,35,112.80640081999033,343,0.45152227130126615,192,15,17,7,11,7-11,0.5457103853165228,0.46527521223572893,0.5924270701418745,0.5457103853165228,0.46527521223572893,0.5924270701418745,0.8352392511805222,0.8952146845427532,101.65078629114743,99.59694233298201,101.65078629114743,99.59694233298201,107.29929374904883,111.82067058558556,110.08575600106035,112.8898962836549,0.42818428358691885,4,0.041952443276510876,1296.0,1399.0,1257.125,1.0309237347121407,1.112856716714726,0,0.3888888888888889,-9.043226053141938,209,83,69.05988257266317
193,Georgia,SEC,6-26,106.94958530105049,84,108.78933430933466,296,0.45112134534806436,193,6,26,1,17,1-17,0.688707025776426,0.5112213098599051,0.8108011876734328,0.688707025776426,0.5112213098599051,0.8108011876734328,0.7231832779542968,0.8669214599260134,105.59873701115686,97.04499381663547,105.59873701115686,97.04499381663547,111.21297277951732,109.81396601283188,127.3887955768482,121.18559535448561,0.6397056068425013,13,-0.11465797026448238,1274.0,1484.0,1263.6375,1.008200532193766,1.1743874331048263,0,0.05555555555555555,-13.72583952041012,291,349,68.76069566643602
194,Weber St.,BSky,21-12,101.33365749477758,193,103.16027789042725,203,0.44881727695329593,194,21,12,13,7,13-7,0.34855910010579627,0.42005851014882256,0.30114778256532837,0.34855910010579627,0.42005851014882256,0.30114778256532837,0.9192221764372248,0.8769368816665127,100.68003461130886,106.18345155537216,100.68003461130886,106.18345155537216,102.1533822439433,102.28707546335734,100.97999677035678,114.40481722648995,0.19225271325925314,1,0.026724715654741216,1552.0,1417.0,1432.2999999999997,1.0835718773999863,0.9893178803323328,0,0.65,-7.697004798849696,184,111,69.5912957186231
195,Pittsburgh,ACC,11-21,98.88370796312878,243,101.05627404746863,146,0.43784074455204974,195,11,21,6,14,6-14,0.6941357941224805,0.5564052691925487,0.7724825601889542,0.6941357941224805,0.5564052691925487,0.7724825601889542,0.7302547587317463,0.8449849613871457,107.97651840823009,99.10422003200394,107.97651840823009,99.10422003200394,102.57541311571057,102.21281194595994,104.35928002737155,106.25396518293893,0.4484551458329054,11,0.056440137735180196,1251.0,1405.0,1278.725,0.97831824669104,1.098750708713758,0,0.3,-8.945332111420534,207,60,63.979916426044284
196,Norfolk St.,MEAC,24-7,100.70785584002336,209,102.94443922089489,196,0.4371825471764865,196,24,7,12,2,12-2,0.2635105656877609,0.3214392863294604,0.1860719666892233,0.2635105656877609,0.3214392863294604,0.1860719666892233,0.9176212484511638,0.8913795163143846,95.58716542740547,104.39470115314307,95.58716542740547,104.39470115314307,104.94953616483879,103.36627294809823,81.86128905815067,108.96177241909908,0.035962091593690806,2,0.088226916468782,1072.0,900.0,981.0,1.0927624872579,0.9174311926605505,0,0.8571428571428571,-3.055305815589781,98,24,66.92525119494044
197,Texas Southern,SWAC,19-13,96.27967734967922,288,98.47390507678132,108,0.4355739530603371,197,19,13,13,5,13-5,0.370859922073887,0.6843935609563836,0.2055337713683627,0.370859922073887,0.6843935609563836,0.2055337713683627,0.8641274402452261,0.6812766876358023,98.73549443571534,104.09103366576207,98.73549443571534,104.09103366576207,96.52925713501246,100.59316719707832,100.89629171501592,95.1762446727807,0.6617655710189199,4,0.02478312164037444,1297.0,1169.0,1268.3249999999998,1.0226085585319222,0.9216880531409537,0,0.7222222222222222,-6.774292054686735,166,115,68.05409315705097
198,Tarleton St.,WAC,14-17,99.30130207020147,235,101.57198153156128,160,0.43536273098039124,198,14,17,9,9,9-9,0.4529047434934614,0.4820605440264518,0.4318477764418572,0.4529047434934614,0.4820605440264518,0.4318477764418572,0.8247878705096537,0.7455251049502585,101.65157780652476,101.26989163708762,101.65157780652476,101.26989163708762,101.07515232212307,105.3925691336543,100.76137285889642,92.21695145822378,0.7347831709499703,3,-0.053638986435393166,1192.0,1220.0,1182.8,1.0077781535339871,1.031450794724383,0,0.5,-9.530735775327987,222,288,63.240658149793816
199,Campbell,BSth,16-13,100.14889181070802,220,102.44185601576552,184,0.4352826135404817,199,16,13,8,8,8-8,0.3412159017423561,0.3385755582143647,0.3345438814422545,0.3412159017423561,0.3385755582143647,0.3345438814422545,0.902517210493678,0.8508492634811706,99.00562470803841,103.3717565144106,99.00562470803841,103.3717565144106,101.88134147063325,105.20504609503516,106.6174043065684,92.10049264117083,0.8433297077733394,2,-0.05157826222005113,1047.0,1016.0,1007.3375000000001,1.0393735962376065,1.008599401888642,0,0.5,-8.798578312270191,202,285,62.22400255270902
200,Old Dominion,CUSA,13-19,99.58464052262863,228,101.89579756981132,172,0.4344195658809925,200,13,19,8,10,8-10,0.49116791673835053,0.45518156906834045,0.51508483086188,0.49116791673835053,0.45518156906834045,0.51508483086188,0.8676822795311264,0.8841308709300251,102.53116097874074,102.32425302972855,102.53116097874074,102.32425302972855,102.09323207834339,101.00070709515332,102.66133087152684,116.73183715551671,0.18586529890116665,1,-0.04870106489346482,1227.0,1217.0,1198.825,1.0235021792171501,1.0151606781640357,0,0.4444444444444444,-12.337123490973536,267,281,64.25837295776027
201,Illinois St.,MVC,13-20,103.50793004772194,155,106.03014817098315,257,0.4312224612333907,201,13,20,5,13,5-13,0.49495125198275225,0.3536486378652449,0.5896762267918122,0.49495125198275225,0.3536486378652449,0.5896762267918122,0.84626720388269,0.8933895185789731,102.93567625721214,101.91777259244247,102.93567625721214,101.91777259244247,104.10160047233212,105.39903100974476,115.45702257363963,116.84584007738347,0.46567740730436813,2,-0.07107629825876977,1273.0,1321.0,1243.3750000000002,1.0238262792801849,1.0624308836835226,0,0.2777777777777778,-12.384855055270108,268,311,68.11794621239612
202,UMKC,Sum,19-12,100.43796429831696,216,103.01746484292664,198,0.42760728715995655,202,19,12,12,6,12-6,0.3424048393284021,0.3314324205778502,0.34695551224975607,0.3424048393284021,0.3314324205778502,0.34695551224975607,0.9006834485106822,0.8696721869814584,102.55671120748462,107.25391196427393,102.55671120748462,107.25391196427393,100.69977565393386,102.92513551679866,89.04304505841563,97.93318098427453,0.25078999404319663,1,0.014875856590116476,1344.0,1307.0,1256.5125,1.0696272420688213,1.0401806587678197,0,0.6666666666666666,-7.341640993815373,177,140,67.3163617718053
203,Arkansas St.,SB,18-11,97.9560796510292,259,100.5300037584092,137,0.42597905940781045,203,18,11,8,7,8-7,0.4023363130656877,0.3224441213663461,0.4601277517932449,0.4023363130656877,0.3224441213663461,0.4601277517932449,0.8787379686225342,0.8544195143889936,101.02686156951093,102.80659118611888,101.02686156951093,102.80659118611888,97.76701772930109,99.92217012611852,97.00484630486874,106.4415437017906,0.25585926808590914,2,0.07720954149694526,1020.0,1013.0,1036.9624999999999,0.9836421278493679,0.9768916426582448,0,0.5333333333333333,-5.863384100802171,149,34,68.17869331632282
204,Indiana St.,MVC,11-20,98.63181519031082,250,101.58618567072202,161,0.4159534553780401,204,11,20,4,14,4-14,0.5030654983251496,0.37664368147980426,0.5913379893940678,0.5030654983251496,0.37664368147980426,0.5913379893940678,0.8292739959475708,0.8498524226756855,103.87851539381653,101.26535615439157,103.87851539381653,101.26535615439157,99.30954993712986,101.70675770798731,108.7610467880341,109.35517086045833,0.4843427281094,3,-0.08538029123975449,1221.0,1346.0,1277.4375000000002,0.9558197563481577,1.0536719017564458,0,0.2222222222222222,-12.261698050093893,266,329,69.45268097657258
205,Troy,SB,20-12,97.25930881036116,272,100.21283950442827,132,0.4148309626059653,205,20,12,10,6,10-6,0.4101871971405474,0.33385130204934527,0.46821902516735314,0.4101871971405474,0.33385130204934527,0.46821902516735314,0.8931235730177921,0.8958368669765111,100.7011551216431,102.85794595823825,100.7011551216431,102.85794595823825,100.71241725251991,98.3219764073788,69.37341872561454,104.86030006531603,0.008569496144230849,1,0.10771697015620874,1063.0,1032.0,1065.6125000000002,0.9975483583385141,0.9684571080012667,0,0.625,-5.802851914219209,147,11,67.0766578177945
206,Nicholls St.,Slnd,21-12,99.55561846752978,229,102.70775774713435,189,0.41133032002089714,206,21,12,11,3,11-3,0.3197526010312695,0.38867346783738843,0.19823107979636675,0.3197526010312695,0.38867346783738843,0.19823107979636675,0.8690407263178523,0.8015961310087425,100.56036952767138,106.39192336885961,100.56036952767138,106.39192336885961,99.47489009470142,103.85227320391286,101.41871209516665,95.91408071120193,0.6551501530113952,5,0.014746587136506784,1102.0,1015.0,1028.125,1.071854103343465,0.9872340425531915,0,0.7857142857142857,-5.815069451974651,148,141,69.75862784189133
207,Valparaiso,MVC,14-18,102.10672580092859,176,105.36509648329724,245,0.4106576020780813,207,14,18,6,12,6-12,0.4950777628177846,0.35630624248953735,0.5919146027964882,0.4950777628177846,0.35630624248953735,0.5919146027964882,0.8524941630322045,0.9140947328360657,102.95354092997222,101.99138065525865,102.95354092997222,101.99138065525865,102.83907293493077,107.85186085700376,114.71015991989329,97.8284773818992,0.861847258586834,1,-0.011867277753543737,1227.0,1340.0,1220.55,1.0052845028880424,1.0978657162754497,0,0.3333333333333333,-10.793031674376058,238,200,65.17634723564613
208,Loyola Marymount,WCC,11-18,105.12493133753019,119,108.48775991687252,291,0.41044871369605695,208,11,18,3,12,3-12,0.5694029873216,0.5184778029898823,0.6177294715683679,0.5694029873216,0.5184778029898823,0.6177294715683679,0.7909782242690853,0.8575207937001862,104.34183900852305,99.94403623245337,104.34183900852305,99.94403623245337,106.99873948185709,112.48975081401042,115.67102698568723,123.93604414786901,0.3113794937807146,4,0.007396232142865722,1039.0,1174.0,1013.9,1.0247558930861032,1.1579051188480127,0,0.2,-9.427923498547711,217,162,65.8316488926732
209,UC Davis,BW,13-11,97.4444969275705,269,100.68258686784374,141,0.4071079476376672,209,14,10,6,6,6-6,0.33835627173450517,0.3126603275204534,0.3591755330148408,0.33835627173450517,0.3126603275204534,0.3591755330148408,0.9241734208820901,0.9142593911833208,99.49082407852683,104.7625860464026,99.49082407852683,104.7625860464026,100.01199200797362,103.99070818135125,99.86170417037981,84.39378055752847,0.8738419964784662,1,-0.05029816144184429,812.0,803.0,796.475,1.0194921372296681,1.0081923475313097,0,0.5,-8.05294767670314,189,284,67.27461255441888
210,Purdue Fort Wayne,Horz,21-12,99.06629312734812,241,102.37661589887004,183,0.4066107300843139,210,21,12,15,6,15-6,0.3314511771315175,0.27779005964134074,0.3337185567454175,0.3314511771315175,0.27779005964134074,0.3337185567454175,0.9278706180962331,0.9342342133358703,100.10272250265935,106.68220053943568,100.10272250265935,106.68220053943568,101.2772916121949,101.21956187871562,0,0,0,0,0.041355084814489795,1545.0,1442.0,1459.925,1.0582735414490472,0.9877219720191106,0,0.7142857142857143,0,63,84,68.26362401244991
211,Niagara,MAAC,14-16,98.43078744759868,253,101.81116734244279,171,0.4041239941461108,211,14,16,9,11,9-11,0.42762552824365285,0.4217917148703077,0.42715058922270044,0.42762552824365285,0.4217917148703077,0.42715058922270044,0.8802786747800097,0.8319973989731761,101.06302200626804,103.04199608098102,101.06302200626804,103.04199608098102,97.96726269194893,103.07903332646694,101.52218631479374,95.55016649473185,0.6675663238103782,2,-0.018314309632098347,1329.0,1339.0,1336.3874999999998,0.9944720374891266,1.0019548970639132,0,0.45,-10.479795570829083,234,214,64.33813368090073
212,Fairfield,MAAC,15-18,99.43168841435819,231,103.05276686548568,199,0.39858644355931555,212,15,18,8,12,8-12,0.3971040407872344,0.328531809645824,0.42769354356370765,0.3971040407872344,0.328531809645824,0.42769354356370765,0.897747305307997,0.8944947239606773,99.9277451229806,103.67993062086306,99.9277451229806,103.67993062086306,99.57791709020357,103.74552488174689,104.26758895614759,95.12373111066162,0.7418285050877077,1,-0.06396803165101911,1294.0,1329.0,1304.9374999999998,0.99161837252742,1.0184395804396764,0,0.4,-12.688948445507041,274,306,64.26323111897737
213,UNC Asheville,BSth,17-15,101.33145000122965,194,105.10871400441286,239,0.3963059232002759,213,17,15,8,8,8-8,0.3624957556488626,0.3847953950133563,0.3434573837297438,0.3624957556488626,0.3847953950133563,0.3434573837297438,0.8983411267720223,0.8517026452908107,100.40763635368266,104.42197582283525,100.40763635368266,104.42197582283525,100.2808738868761,103.82945843809196,103.69716570126842,111.45503154750259,0.3037119221985262,2,-0.02978765555950791,1171.0,1112.0,1126.0625,1.0399067547316423,0.9875117944163845,0,0.5,-9.441061086921898,218,242,66.51855347144392
214,Harvard,Ivy,13-13,97.02218536180041,275,100.66999437648217,140,0.39545398574281465,214,13,13,5,9,5-9,0.3602526020429246,0.30336048778388214,0.40901727140781813,0.3602526020429246,0.30336048778388214,0.40901727140781813,0.917579514088827,0.9284235152057075,100.44236430038838,104.72657566871723,100.44236430038838,104.72657566871723,97.13566403732327,102.2280773565379,0,0,0,0,-0.06365562240117328,945.0,981.0,959.9124999999999,0.9844647298581903,1.0219681481385023,0,0.35714285714285715,-9.490481454212807,221,304,67.15852904391036
215,South Dakota,Sum,19-12,103.47943788702848,157,107.49886250339401,277,0.3921617517566975,215,19,12,11,7,11-7,0.3584331629390483,0.32864212983799485,0.35081555021982225,0.3584331629390483,0.32864212983799485,0.35081555021982225,0.9104267965085259,0.911230223730913,102.3343040705979,107.57875594464284,102.3343040705979,107.57875594464284,106.7866927669933,109.07721064401515,0,0,0,0,0.053035525386727844,1395.0,1320.0,1214.7625,1.1483726242784082,1.0866321606075262,0,0.6111111111111112,-7.570810286355661,181,66,65.76573743202708
216,Oregon St.,P12,3-28,105.31604106439848,114,109.41684839317813,305,0.39191013195021596,216,3,28,1,19,1-19,0.696689756681479,0.5775510185637682,0.7525734733626104,0.696689756681479,0.5775510185637682,0.7525734733626104,0.7269092236057841,0.8172178305253551,106.39220504836699,97.51705571892639,106.39220504836699,97.51705571892639,107.44330023005732,111.56145414153582,114.30457014660432,113.94426343859827,0.5090757867392098,10,-0.15078221514119725,1365.0,1634.0,1372.4875,0.994544576908715,1.1905390759478685,0,0.05,-16.15195526658843,320,357,66.66121122824788
217,James Madison,CAA,15-14,102.23563465782951,175,106.30216428829534,260,0.38970282357881775,217,15,14,6,12,6-12,0.4742535852480054,0.43552686401611085,0.4979199148897187,0.4742535852480054,0.43552686401611085,0.4979199148897187,0.876901883727092,0.8879262647475947,102.74400784793386,102.45906489020204,102.74400784793386,102.45906489020204,104.91253073747808,111.41358404190275,101.85121908877518,98.28497182170386,0.601059761636927,1,0.07191483322771669,1334.0,1426.0,1269.1375000000003,1.0511075435088788,1.1235977189232842,0,0.3333333333333333,-8.32240883215031,195,38,68.98093489611823
218,Northern Colorado,BSky,22-16,106.87699325249157,88,111.14976001402911,334,0.3891708384641067,218,23,15,13,7,13-7,0.3787667317633939,0.4623191823978607,0.30699164782380967,0.3787667317633939,0.4623191823978607,0.30699164782380967,0.8802368909177369,0.7639207728693931,101.32892498954506,104.6037739167339,101.32892498954506,104.6037739167339,107.97264337870209,112.82450997765207,106.94031098826981,106.44850048076239,0.5132493047950826,4,0.04703543586546011,1629.0,1568.0,1436.75,1.1338089437967636,1.0913520097442144,0,0.65,-8.95357362335359,208,78,69.34604915708381
219,Cal Baptist,WAC,18-16,98.13547037583042,257,102.16677818373438,176,0.3862830687130006,219,18,16,7,11,7-11,0.39160837817640476,0.2945771698625062,0.4455114126150365,0.39160837817640476,0.2945771698625062,0.4455114126150365,0.8722169588589946,0.8650868259634209,99.88558597812192,103.25690740552703,99.88558597812192,103.25690740552703,100.42073265401369,103.02658758482508,88.9683565547711,95.32534482573912,0.3113807532747094,2,-0.015348759243654753,1252.0,1249.0,1251.6375,1.000289620597018,0.9978927604837662,0,0.3888888888888889,-9.058002096431602,210,209,67.26460802860556
220,Penn,Ivy,12-16,105.20504284482467,117,109.62389652410823,311,0.3838691258685502,220,12,16,9,5,9-5,0.5196555963001476,0.6351285094584737,0.41064102426905624,0.5196555963001476,0.6351285094584737,0.41064102426905624,0.8288309687128343,0.739639069730946,102.44598269683036,101.73572235865554,102.44598269683036,101.73572235865554,105.61135094658324,108.74936273133063,134.71662694778786,140.75080122084728,0.3766244430613133,3,0.04798485243867795,1058.0,1049.0,993.9875000000002,1.0643997032155834,1.0553452633961693,0,0.6428571428571429,-8.84835017586922,205,75,67.94826115313707
221,San Diego,WCC,15-16,95.99700842079713,292,100.09355650871362,129,0.3821186520463715,221,15,16,7,9,7-9,0.5036136743533326,0.38414330686170123,0.612617611988888,0.5036136743533326,0.38414330686170123,0.612617611988888,0.8137877333327548,0.8801146057842499,103.38447836477918,101.20093124114092,103.38447836477918,101.20093124114092,98.07314974315474,100.69716609594492,99.18414188378772,108.73495455768862,0.2578344813450173,6,0.06400754590013558,1047.0,1162.0,1101.6249999999998,0.9504141608986726,1.0548054011119938,0,0.4375,-7.820907225713066,186,51,65.71564766451353
222,George Washington,A10,12-18,98.88026304156611,244,103.1185140224077,200,0.38162729675306417,222,12,18,8,9,8-9,0.5164756306502274,0.4162636284689174,0.5910343003865276,0.5164756306502274,0.4162636284689174,0.5910343003865276,0.8441889226599736,0.8907818147137568,102.39073602304195,101.73074399200378,102.39073602304195,101.73074399200378,102.32320615544907,104.467569706621,94.06028741165025,113.22966092831511,0.10592621400822698,3,0.008252604022334298,1182.0,1253.0,1193.825,0.9900948631499591,1.0495675664356166,0,0.47058823529411764,-10.885680000659828,240,159,69.0473538614407
223,Rider,MAAC,14-19,98.64083604317628,249,102.93978494634135,195,0.3797576478645303,223,14,19,8,12,8-12,0.4160099969128597,0.36515078014460883,0.42954095778009815,0.4160099969128597,0.36515078014460883,0.42954095778009815,0.8941787992072977,0.8863161841447875,100.13521300994952,103.31049851401275,100.13521300994952,103.31049851401275,98.24895721997657,103.2462579338929,0,0,0,0,-0.05564081924946085,1345.0,1378.0,1368.75,0.982648401826484,1.0067579908675799,0,0.4,-13.393887321272913,283,290,67.03531871034974
224,Detroit Mercy,Horz,14-16,105.7075726963741,105,110.42222868600082,324,0.3771173660403888,224,14,16,10,7,10-7,0.4095521041635486,0.5188339847296719,0.34756321363413695,0.4095521041635486,0.5188339847296719,0.34756321363413695,0.8803396651062447,0.796941274746378,100.6491307450932,104.2809911471567,100.6491307450932,104.2809911471567,105.0750558329667,106.18867156199069,113.46366648560739,117.1571308160682,0.40893163320455206,1,-0.009801445309396972,1194.0,1142.0,1104.9125,1.0806285565599087,1.0335660063579697,0,0.5882352941176471,0,58,196,64.92249357357748
225,Dartmouth,Ivy,9-16,96.3413143704351,286,100.65643355218351,139,0.37662881942184373,225,9,16,6,8,6-8,0.44645361507746245,0.4907409582915125,0.41165641683785165,0.44645361507746245,0.4907409582915125,0.41165641683785165,0.8775900561941729,0.8395036640930956,102.20994155034315,104.01899381833817,102.20994155034315,104.01899381833817,96.64513604010124,100.822009080608,105.7310942148311,118.67495682340662,0.20946940264037167,1,-0.08163949620900207,952.0,928.0,943.0125,1.0095306265823623,0.9840802746517145,0,0.42857142857142855,-11.157079565808013,245,327,64.67199235492892
226,Marist,MAAC,14-16,99.17031982545332,238,103.76023656431806,217,0.3727805605316175,226,14,16,9,11,9-11,0.39316140278135364,0.3162276538207531,0.43022606803349317,0.39316140278135364,0.3162276538207531,0.43022606803349317,0.9102845780290563,0.9294441397594722,99.71433572120421,104.08699673228034,99.71433572120421,104.08699673228034,101.7893829689834,102.81514939463541,0,0,0,0,-0.02355212834502146,1379.0,1363.0,1352.95,1.0192542222550722,1.0074282124247016,0,0.45,-11.587636815381888,249,224,66.24859692135055
227,Brown,Ivy,13-16,98.82117165099457,247,103.59159778737744,212,0.3676852370258294,227,13,16,5,9,5-9,0.4462136984401156,0.47729589495695934,0.4129113450292117,0.4462136984401156,0.47729589495695934,0.4129113450292117,0.8597778341979857,0.8155528550557966,102.09131584048254,103.28078335052297,102.09131584048254,103.28078335052297,98.12715310742765,107.42846003020681,117.49871715430368,111.75195671792677,0.640302019571756,2,-0.008918784328699914,982.0,1009.0,962.8625000000001,1.0198756312557606,1.047917018265848,0,0.35714285714285715,-9.941944338875354,228,195,67.54787206911823
228,La Salle,A10,11-19,97.7564814999356,263,102.56658237183206,186,0.36531340782770527,228,11,19,5,13,5-13,0.5243170288992736,0.34379294720300557,0.6084559372642565,0.5243170288992736,0.34379294720300557,0.6084559372642565,0.8401110323643101,0.8899754799742168,102.645614051863,102.02868304005825,102.645614051863,102.02868304005825,101.06250912126278,104.17444402531069,106.19201219415629,123.59513605488313,0.14864523119566167,3,-0.01565438542696157,1206.0,1305.0,1227.6000000000001,0.9824046920821113,1.063049853372434,0,0.2777777777777778,-11.71694457080958,253,210,67.45148436164084
229,High Point,BSth,14-18,98.84250438120677,246,103.7206673549563,215,0.3649375082378254,229,14,18,7,9,7-9,0.3938242198852958,0.4663256789401965,0.33763115765552904,0.3938242198852958,0.4663256789401965,0.33763115765552904,0.8819158204404449,0.8089333743671157,101.0624829483528,103.07927475673947,101.0624829483528,103.07927475673947,100.37936797190315,104.5282640298436,99.70232661114203,99.59749238198556,0.5030245362180954,3,-0.07267227648007957,1109.0,1093.0,1088.9750000000001,1.0183888519020179,1.0036961362749373,0,0.4375,-12.486588099705285,271,314,66.32649361008613
230,Boston University,Pat,22-13,104.33813916523451,137,109.51066842592803,307,0.3643744430241956,230,22,13,11,7,11-7,0.3206149993797437,0.3612024135673083,0.2577085294105045,0.3206149993797437,0.3612024135673083,0.2577085294105045,0.9280037154037314,0.910693466568743,97.34327721283489,104.74308389268592,97.34327721283489,104.74308389268592,103.66381132790701,110.54337454495246,0,0,0,0,0.061926369241939505,1298.0,1242.0,1190.375,1.0904126850782316,1.0433686863383387,0,0.6111111111111112,-8.30632378501647,194,54,64.94084379172092
