rank,team,conf,record,adjoe,oe Rank,adjde,de Rank,barthag,rank,proj. W,Proj. L,Pro Con W,Pro Con L,Con Rec.,sos,ncsos,consos,Proj. SOS,Proj. Noncon SOS,Proj. Con SOS,elite SOS,elite noncon SOS,Opp OE,Opp DE,Opp Proj. OE,Opp Proj DE,Con Adj OE,Con Adj DE,Qual O,Qual D,Qual Barthag,Qual Games,FUN,ConPF,ConPA,ConPoss,ConOE,ConDE,ConSOSRemain,Conf Win%,WAB,WAB Rk,"Fun Rk, adjt"
21,Arkansas,SEC,28-9,108.69900554380271,60,90.68724506596276,12,0.8892800486032264,21,28,9,13,5,13-5,0.6991072772261189,0.5003951570090814,0.7866833036346533,0.6991072772261189,0.5003951570090814,0.7866833036346533,0.7037475327954644,0.8750359267943342,107.29531924064148,97.831966347967,107.29531924064148,97.831966347967,109.81838756012539,89.0688705873065,112.13621116822053,95.71845163155464,0.8606245518393613,16,0.07190599986736135,1341.0,1208.0,1297.1875,1.0337749939773548,0.9312454830161407,0,0.7222222222222222,4.459650572965871,17,39,70.62642520486659
22,LSU,SEC,22-12,106.30734826099842,96,89.65135038194248,8,0.8764973101362293,22,22,12,9,9,9-9,0.6890850493944128,0.5129955915871626,0.8055288825025443,0.6890850493944128,0.5129955915871626,0.8055288825025443,0.6977567603852041,0.8493630775117261,106.63971305118218,97.68066840117993,106.63971305118218,97.68066840117993,106.2835973638637,90.63220159807273,116.21320865743527,98.78050160845517,0.8663485687661868,17,-0.012045448558104854,1247.0,1224.0,1262.3125,0.9878694855671635,0.9696489577660049,0,0.5,2.2753237405142297,32,202,68.67452302731698
23,San Francisco,WCC,24-10,110.17338022961245,44,93.03615566959532,27,0.8748207049439864,23,24,10,10,6,10-6,0.6075819487398209,0.5522609104735863,0.6136809499152958,0.6075819487398209,0.5522609104735863,0.6136809499152958,0.762959723480112,0.833876697823051,105.52822540225999,99.06853493321755,105.52822540225999,99.06853493321755,111.72496890792674,93.3313275709032,128.17709746742375,112.48924413278856,0.8177810472105409,8,-0.022047078913156826,1258.0,1106.0,1149.925,1.093984390286323,0.9618018566428246,0,0.625,1.6318126644293307,42,221,68.95350901508584
24,Michigan,B10,19-15,113.88655150417998,19,96.23673642314331,62,0.8739675407397407,24,19,15,11,9,11-9,0.7681165692910108,0.6440560326562018,0.8056665533897303,0.7681165692910108,0.6440560326562018,0.8056665533897303,0.6429340200280257,0.7470156799997272,109.83090704732156,96.88858591132279,109.83090704732156,96.88858591132279,115.96017374819864,98.99311284292072,119.01496908459751,101.64798284399902,0.8598369235449259,18,-0.03501739249332392,1483.0,1440.0,1341.1374999999998,1.1057777446384134,1.0737154094938066,0,0.55,0.1528518868544082,56,253,66.42638869378222
25,Connecticut,BE,23-10,113.19096296828624,22,95.89164386108823,52,0.8707223894784211,25,23,10,13,6,13-6,0.6599018177886156,0.45536029270048667,0.7513888258099571,0.6599018177886156,0.45536029270048667,0.7513888258099571,0.7286282010349353,0.8162147253640213,104.97037728045193,97.98086559418981,104.97037728045193,97.98086559418981,113.66077314703735,96.2831859109462,117.31064754607621,100.78747003531554,0.851426327434096,11,0.016636189478008934,1384.0,1287.0,1276.4624999999999,1.084246501561934,1.0082552366403243,0,0.6842105263157895,3.069619992795917,26,136,65.03190616697913
26,TCU,B12,21-13,108.60101930288978,63,92.07233949746103,18,0.8697467678892691,26,21,13,8,10,8-10,0.7251985982862551,0.43739690923418856,0.8778391402660942,0.7251985982862551,0.43739690923418856,0.8778391402660942,0.6328618771084019,0.8777269427092104,107.57329536906792,96.00524968624815,107.57329536906792,96.00524968624815,108.7990060397031,92.28115195959225,116.99464427439888,97.50724529395217,0.8904471754762944,19,0.036220208434387,1160.0,1198.0,1198.7375,0.9676847516658151,0.9993847693927987,0,0.4444444444444444,2.917733911815506,27,93,65.89252386840234
27,San Diego St.,MWC,23-9,102.3494883972377,173,86.92160360811394,2,0.8674901476250654,27,23,9,13,4,13-4,0.650889438659574,0.5758003724217341,0.660271989807713,0.650889438659574,0.5758003724217341,0.660271989807713,0.7576695340907195,0.7946113805998835,105.29600891829791,98.71649937606774,105.29600891829791,98.71649937606774,103.47730085618464,86.3202079817505,107.11034406935755,91.65766625428614,0.8571340797974866,8,0.012762912934312087,1144.0,988.0,1126.4375000000002,1.0155911890362312,0.8771014814403816,0,0.7647058823529411,2.6117130820653407,30,147,65.30068784731317
28,Indiana,B10,21-14,107.67728000139952,74,91.61389136009475,16,0.8650508755312927,28,21,14,9,11,9-11,0.6951645180636536,0.42804083627641426,0.7843804062020185,0.6951645180636536,0.42804083627641426,0.7843804062020185,0.7017561110200261,0.8692577113311593,108.09712287657979,98.71973009454976,108.09712287657979,98.71973009454976,107.38167754671647,91.77182612148314,114.24790301916237,100.50927920085056,0.8135716702406673,15,-0.042770363640166065,1344.0,1343.0,1333.7250000000001,1.0077039869538322,1.0069542072016344,0,0.45,0.21251000117908025,54,268,67.24332835812906
29,Oklahoma,B12,19-16,110.5831361933163,40,94.0948870576853,36,0.8649275864263087,29,19,16,7,11,7-11,0.7307389719173297,0.500986167257826,0.8783818635417276,0.7307389719173297,0.500986167257826,0.8783818635417276,0.6319412460758027,0.8171176445812001,107.1534713634227,95.50825488138187,107.1534713634227,95.50825488138187,111.12381570723296,95.16874389981288,120.06234561009943,102.59886516965754,0.8590738929291533,18,-0.03125406763977889,1168.0,1213.0,1184.3500000000001,0.9861949592603537,1.024190484231857,0,0.3888888888888889,1.083517183782471,48,244,65.16224335298033
30,Alabama,SEC,19-14,115.16486403052022,16,98.26646329851049,100,0.8611460968656462,30,19,14,9,9,9-9,0.7714351948545585,0.7343431059798823,0.7921319546564208,0.7714351948545585,0.7343431059798823,0.7921319546564208,0.6504660705295879,0.6779349501109742,109.17946733321611,96.1534920578459,109.17946733321611,96.1534920578459,115.11641130959278,100.72186436718694,129.92357769082952,108.18273071587709,0.8914785618867705,19,-0.003245597694806812,1401.0,1405.0,1320.8375,1.0606906602818287,1.0637190418957667,0,0.5,1.9527869427513775,34,183,71.82724794839919
