,Rk,Team,Conf,NetRtg,ORtg,DRtg,AdjT,Luck,SS_NetRtg,SS_ORtg,SS_DRtg,NCSOS_NetRtg
168,177.0,Ohio,MAC,-1.14,107.2,108.3,70.6,-0.041,-2.64,106.6,109.3,-0.57
169,178.0,Montana,BSky,-1.15,110.6,111.8,67.3,0.19,-1.03,107.4,108.5,9.69
170,179.0,Nebraska Omaha,Sum,-1.3,111.3,112.6,67.7,0.069,-1.71,107.7,109.4,1.0
171,180.0,Norfolk St.,MEAC,-1.36,109.5,110.8,66.7,0.024,-5.83,104.0,109.9,3.59
172,181.0,Wyoming,MWC,-1.45,104.7,106.1,65.2,-0.006,6.15,110.7,104.6,-2.39
173,182.0,Boston College,ACC,-1.56,105.1,106.7,66.8,0.023,5.0,110.2,105.2,-6.02
174,183.0,Eastern Kentucky,ASun,-1.59,110.2,111.8,67.9,0.019,-2.08,106.9,108.9,5.14
175,184.0,Rice,Amer,-1.7,108.1,109.8,65.6,-0.063,-1.33,106.1,107.5,-7.12
176,185.0,Montana St.,BSky,-1.72,106.5,108.3,66.2,-0.075,-1.38,106.9,108.3,5.88
177,186.0,Elon,CAA,-1.9,107.3,109.1,65.3,-0.03,-2.77,106.0,108.8,0.18
178,187.0,Dartmouth,Ivy,-2.02,101.8,103.8,71.4,-0.044,-3.35,106.7,110.1,-5.13
179,188.0,Southern Illinois,MVC,-2.32,105.7,108.1,68.3,-0.046,1.73,109.4,107.6,3.23
180,189.0,Central Michigan,MAC,-2.37,106.8,109.2,67.6,-0.099,-0.83,107.3,108.1,11.98
181,190.0,Texas St.,SB,-2.38,111.1,113.5,66.0,-0.028,-1.74,105.3,107.0,0.51
182,191.0,Princeton,Ivy,-2.38,105.5,107.9,66.9,0.153,-0.23,107.8,108.1,0.52
183,192.0,Miami FL,ACC,-2.41,114.0,116.4,67.5,-0.152,8.5,111.3,102.8,-2.1
184,193.0,Seton Hall,BE,-2.48,100.1,102.5,64.6,-0.049,9.83,112.0,102.2,-1.95
185,194.0,Southeastern Louisiana,Slnd,-2.53,105.3,107.8,67.4,0.024,-3.25,105.5,108.8,-0.21
186,195.0,South Carolina St.,MEAC,-2.67,103.6,106.3,69.1,-0.051,-6.68,104.1,110.8,1.34
187,196.0,Portland St.,BSky,-2.67,101.5,104.2,68.6,0.022,-3.67,106.8,110.5,-0.56
188,197.0,Oakland,Horz,-2.7,107.1,109.8,64.0,-0.001,0.62,108.1,107.5,14.24
189,198.0,South Florida,Amer,-2.7,104.0,106.7,68.5,-0.04,0.3,108.9,108.6,-4.75
190,199.0,Idaho St.,BSky,-2.71,106.9,109.7,66.2,-0.067,-3.13,106.4,109.6,2.99
191,200.0,UTSA,Amer,-2.73,107.7,110.4,70.3,-0.052,1.87,108.2,106.4,1.79
192,203.0,Drexel,CAA,-2.95,102.0,104.9,63.2,-0.042,-4.31,106.0,110.3,-4.75
193,204.0,Merrimack,MAAC,-3.01,100.4,103.4,65.1,0.006,-4.63,105.1,109.7,7.87
194,205.0,Massachusetts,A10,-3.05,103.8,106.9,70.6,-0.034,1.49,107.0,105.5,-2.67
195,206.0,Indiana St.,MVC,-3.22,109.0,112.2,72.5,-0.03,0.67,107.5,106.9,-3.53
